ID	Title	Composer	Singer	Language	Mood	Genre
1	Apna Bana Le	Pritam	Arijit Singh	Hindi	Romantic	Ballad
2	Kesariya	Pritam	Arijit Singh	Hindi	Romantic	Pop
3	Naatu Naatu	M.M. Keeravani	Rahul Sipligunj	Hindi	Energetic	Action
4	Manike Mage Hithe	Yohani	Yohani	Sinhala	Happy	Pop
5	Shayad	Pritam	Arijit Singh	Hindi	Sad	Ballad
6	Shape of You	Ed Sheeran	Ed Sheeran	English	Romantic	Pop
7	Blinding Lights	The Weeknd	The Weeknd	English	Energetic	Pop
8	Dance Monkey	Tones and I	Tones and I	English	Energetic	Pop
9	Stay	The Kid Laroi	Justin Bieber	English	Romantic	Pop
10	Levitating	Dua Lipa	Dua Lipa	English	Energetic	Pop
11	Peaches	Justin Bieber	Justin Bieber	English	Romantic	Pop
12	Save Your Tears	The Weeknd	The Weeknd	English	Sad	Pop
13	Watermelon Sugar	Harry Styles	Harry Styles	English	Happy	Pop
14	Drivers License	Olivia Rodrigo	Olivia Rodrigo	English	Sad	Ballad
15	Good 4 U	Olivia Rodrigo	Olivia Rodrigo	English	Angry	Rock
16	Montero	Lil Nas X	Lil Nas X	English	Energetic	Hip-Hop
17	Stay With Me	Sam Smith	Sam Smith	English	Sad	Pop
18	As It Was	Harry Styles	Harry Styles	English	Happy	Pop
19	Industry Baby	Lil Nas X	Lil Nas X	English	Energetic	Hip-Hop
20	Heat Waves	Glass Animals	Glass Animals	English	Sad	Indie
21	Better Days	Dermot Kennedy	Dermot Kennedy	English	Hopeful	Pop
22	Despacito	Luis Fonsi	Luis Fonsi	Spanish	Romantic	Pop
23	Uptown Funk	Mark Ronson	Bruno Mars	English	Energetic	Funk
24	Thinking Out Loud	Ed Sheeran	Ed Sheeran	English	Romantic	Ballad
25	Perfect	Ed Sheeran	Ed Sheeran	English	Romantic	Ballad
26	Believer	Imagine Dragons	Imagine Dragons	English	Energetic	Rock
27	Happier	Marshmello	Bastille	English	Sad	EDM
28	Senorita	Shawn Mendes	Shawn Mendes	English	Romantic	Pop
29	Counting Stars	OneRepublic	OneRepublic	English	Energetic	Pop
30	Photograph	Ed Sheeran	Ed Sheeran	English	Romantic	Ballad
31	See You Again	Wiz Khalifa	Charlie Puth	English	Sad	Hip-Hop
32	Love Yourself	Justin Bieber	Justin Bieber	English	Sad	Pop
33	Starboy	The Weeknd	The Weeknd	English	Energetic	Pop
34	Sorry	Justin Bieber	Justin Bieber	English	Sad	Pop
35	7 Rings	Ariana Grande	Ariana Grande	English	Confident	Pop
36	Thank U Next	Ariana Grande	Ariana Grande	English	Empowering	Pop
37	Old Town Road	Lil Nas X	Lil Nas X	English	Energetic	Country
38	Sweet Child O Mine	Guns N Roses	Guns N Roses	English	Romantic	Rock
39	Bohemian Rhapsody	Queen	Queen	English	Dramatic	Rock
40	Hotel California	Eagles	Eagles	English	Mysterious	Rock
41	Smells Like Teen Spirit	Nirvana	Nirvana	English	Aggressive	Grunge
42	Imagine	John Lennon	John Lennon	English	Peaceful	Pop
43	Like A Rolling Stone	Bob Dylan	Bob Dylan	English	Thoughtful	Rock
44	Hey Jude	The Beatles	The Beatles	English	Comforting	Pop
45	Whats Up	4 Non Blondes	4 Non Blondes	English	Happy	Rock
46	Zombie	The Cranberries	The Cranberries	English	Angry	Rock
47	Wonderwall	Oasis	Oasis	English	Melancholic	Rock
48	Angels	Robbie Williams	Robbie Williams	English	Comforting	Pop
49	Chaiyya Chaiyya	A.R. Rahman	Sukhwinder Singh	Hindi	Energetic	Bollywood
50	Tum Se Hi	Pritam	Mohit Chauhan	Hindi	Romantic	Ballad
51	Ae Dil Hai Mushkil	Pritam	Arijit Singh	Hindi	Sad	Ballad
52	Gerua	Pritam	Arijit Singh	Hindi	Romantic	Ballad
53	Ilahi	Pritam	Arijit Singh	Hindi	Peaceful	Ballad
54	Phir Bhi Tumko Chaahunga	Pritam	Arijit Singh	Hindi	Romantic	Ballad
55	Tera Ban Jaunga	Mithoon	Mithoon	Hindi	Romantic	Ballad
56	Pal	Javed Ali	Javed Ali	Hindi	Romantic	Ballad
57	Tere Vaaste	Varun Jain	Varun Jain	Hindi	Romantic	Pop
58	Kaise Hua	Vishal Mishra	Vishal Mishra	Hindi	Romantic	Ballad
59	Channa Mereya	Pritam	Arijit Singh	Hindi	Sad	Ballad
60	Janam Janam	Pritam	Arijit Singh	Hindi	Romantic	Ballad
61	Pehla Nasha	Jatin-Lalit	Udit Narayan	Hindi	Romantic	Classic-Bollywood
62	Tere Liye	A.R. Rahman	Lata Mangeshkar	Hindi	Romantic	Classic-Bollywood
